,Artist,Rating,Song,Year
3,Barbra Streisand,4,Love Theme From “A Star Is Born”,1977
4,Hot,5,Angel In Your Arms,1977
5,Kenny Nolan,6,I Like Dreamin’,1977
6,Thelma Houston,7,Don’t Leave Me This Way,1977
7,Rita Coolidge,8,(Your Love Has Lifted Me) Higher And Higher,1977
8,Alan O’Day,9,Undercover Angel,1977
9,Mary MacGregor,10,Torn Between Two Lovers,1977
10,K.C. and The Sunshine Band,11,I’m Your Boogie Man,1977
11,ABBA,12,Dancing Queen,1977
12,Leo Sayer,13,You Make Me Feel Like Dancing,1977
13,Jimmy Buffett,14,Margaritaville,1977
14,Electric Light Orchestra,15,Telephone Line,1977
15,Pablo Cruise,16,Whatcha Gonna Do?,1977
16,Peter McCann,17,Do You Wanna Make Love,1977
17,Stevie Wonder,18,Sir Duke,1977
18,Eagles,19,Hotel California,1977
19,Marvin Gaye,20,"Got To Give It Up, Pt. 1",1977
20,Bill Conti,21,Theme From “Rocky” (Gonna Fly Now),1977
21,Glen Campbell,22,Southern Nights,1977
22,Daryl Hall and John Oates,23,Rich Girl,1977
23,Leo Sayer,24,When I Need You,1977
24,Sylvers,25,Hot Line,1977
25,Rose Royce,26,Car Wash,1977
26,Marilyn McCoo and Billy Davis Jr.,27,You Don’t Have To Be A Star,1977
27,Steve Miller Band,28,Fly Like An Eagle,1977
28,David Soul,29,Don’t Give Up On Us,1977
29,Stephen Bishop,30,On And On,1977
30,Foreigner,31,Feels Like The First Time,1977
31,Climax Blues Band,32,Couldn’t Get It Right,1977
32,Commodores,33,Easy,1977
33,Jennifer Warnes,34,Right Time Of The Night,1977
34,Natalie Cole,35,I’ve Got Love On My Mind,1977
35,Manfred Mann’s. Earth Band,36,Blinded By The Light,1977
36,Barry Manilow,37,Looks Like We Made It,1977
37,Atlanta Rhythm Section,38,So In To You,1977
38,Fleetwood Mac,39,Dreams,1977
39,Jacksons,40,Enjoy Yourself,1977
40,Brick,41,Dazz,1977
41,Peter Frampton,42,I’m In You,1977
42,Kenny Rogers,43,Lucille,1977
43,10cc,44,The Things We Do For Love,1977
44,Shaun Cassidy,45,Da Doo Ron Ron,1977
45,James Taylor,46,Handy Man,1977
46,"Crosby, Stills and Nash",47,Just A Song Before I Go,1977
47,Alice Cooper,48,You And Me,1977
48,Johnny Rivers,49,Swayin’ To The Music (Slow Dancin’),1977
49,Andrew Gold,50,Lonely Boy,1977
50,Stevie Wonder,51,I Wish,1977
51,Fleetwood Mac,52,Don’t Stop,1977
52,Heart,53,Barracuda,1977
53,Brothers Johnson,54,Strawberry Letter 23,1977
54,Bob Seger and The Silver Bullet Band,55,Night Moves,1977
55,Helen Reddy,56,You’re My World,1977
56,Marshall Tucker Band,57,Heard It In A Love Song,1977
57,Kansas,58,Carry On Wayward Son,1977
58,Eagles,59,New Kid In Town,1977
59,Barbra Streisand,60,My Heart Belongs To Me,1977
60,Engelbert Humperdinck,61,After The Lovin’,1977
61,Steve Miller Band,62,Jet Airliner,1977
62,Burton Cummings,63,Stand Tall,1977
63,Elvis Presley,64,Way Down,1977
64,Barry Manilow,65,Weekend In New England,1977
65,Ronnie Milsap,66,It Was Almost Like A Song,1977
66,Sanford Townsend Band,67,Smoke From A Distant Fire,1977
67,Foreigner,68,Cold As Ice,1977
68,Dean Friedman,69,Ariel,1977
69,Bread,70,Lost Without Your Love,1977
70,Meco,71,Star Wars Theme-Cantina Band,1977
71,Floaters,72,Float On,1977
72,David Dundas,73,Jeans On,1977
73,Boz Scaggs,74,Lido Shuffle,1977
74,K.C. and The Sunshine Band,75,Keep It Comin’ Love,1977
75,Bay City Rollers,76,You Made Me Believe In Magic,1977
76,Electric Light Orchestra,77,Livin’ Thing,1977
77,Supertramp,78,Give A Little Bit,1977
78,Shaun Cassidy,79,That’s Rock ‘N’ Roll,1977
79,Bee Gees,80,Love So Right,1977
80,Spinners,81,The Rubberband Man,1977
81,Alice Cooper,82,I Never Cry,1977
82,Carly Simon,83,Nobody Does It Better,1977
83,Sylvers,84,High School Dance,1977
84,Kenny Nolan,85,Love’s Grown Deep,1977
85,Joe Tex,86,Ain’t Gonna Bump No More (With No Big Fat Woman),1977
86,Rose Royce,87,I Wanna Get Next To You,1977
87,Queen,88,Somebody To Love,1977
88,Captain and Tennille,89,Muskrat Love,1977
89,Aerosmith,90,Walk This Way,1977
90,Dr. Buzzard’s Original Savannah Band,91,Whispering-Cherchez La Femme-C’est Si Bon,1977
91,Al Stewart,92,Year Of The Cat,1977
92,Heatwave,93,Boogie Nights,1977
93,Fleetwood Mac,94,Go Your Own Way,1977
94,Elton John,95,Sorry Seems To Be The Hardest Word,1977
95,B.J. Thomas,96,Don’t Worry Baby,1977
96,ABBA,97,"Knowing Me, Knowing You",1977
97,Leo Sayer,98,How Much Love,1977
98,London Symphony Orchestra,99,Star Wars (Main Title),1977
99,C.J. and Co.,100,Devil’s Gun,1977
0,Andy Gibb,1,Shadow Dancing,1978
1,Bee Gees,2,Night Fever,1978
2,Debby Boone,3,You Light Up My Life,1978
3,Bee Gees,4,Stayin’ Alive,1978
4,Exile,5,Kiss You All Over,1978
5,Bee Gees,6,How Deep Is Your Love,1978
6,Player,7,Baby Come Back,1978
7,Andy Gibb,8,(Love Is) Thicker Than Water,1978
8,A Taste Of Honey,9,Boogie Oogie Oogie,1978
9,Commodores,10,Three Times A Lady,1978
10,Frankie Valli,11,Grease,1978
11,Paul Davis,12,I Go Crazy,1978
12,John Travolta and Olivia Newton-John,13,You’re The One That I Want,1978
13,Samantha Sang,14,Emotion,1978
14,Eric Clapton,15,Lay Down Sally,1978
15,Rolling Stones,16,Miss You,1978
16,Billy Joel,17,Just The Way You Are,1978
17,Wings,18,With A Little Luck,1978
18,Yvonne Elliman,19,If I Can’t Have You,1978
19,Chic,20,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",1978
20,Chuck Mangione,21,Feels So Good,1978
21,Nick Gilder,22,Hot Child In The City,1978
22,Sweet,23,Love Is Like Oxygen,1978
23,Bonnie Tyler,24,It’s A Heartache,1978
24,Queen,25,We Will Rock You / We Are The Champions,1978
25,Gerry Rafferty,26,Baker Street,1978
26,Barry Manilow,27,Can’t Smile Without You,1978
27,Johnny Mathis and Deniece Williams,28,"Too Much, Too Little, Too Late",1978
28,Peter Brown,29,Dance With Me,1978
29,Meat Loaf,30,Two Out Of Three Ain’t Bad,1978
30,Raydio,31,Jack And Jill,1978
31,ABBA,32,Take A Chance On Me,1978
32,Dan Hill,33,Sometimes When We Touch,1978
33,Donna Summer,34,Last Dance,1978
34,Olivia Newton-John,35,Hopelessly Devoted To You,1978
35,Foreigner,36,Hot Blooded,1978
36,Rod Stewart,37,You’re In My Heart,1978
37,Roberta Flack and Donny Hathaway,38,The Closer I Get To You,1978
38,Kansas,39,Dust In The Wind,1978
39,Walter Egan,40,Magnet And Steel,1978
40,Randy Newman,41,Short People,1978
41,O’Jays,42,Use Ta Be My Girl,1978
42,Natalie Cole,43,Our Love,1978
43,Pablo Cruise,44,Love Will Find A Way,1978
44,Andy Gibb,45,An Everlasting Love,1978
45,John Paul Young,46,Love Is In The Air,1978
46,David Gates,47,Goodbye Girl,1978
47,Paul Simon,48,Slip Slidin’ Away,1978
48,Heatwave,49,The Groove Line,1978
49,Jay Ferguson,50,Thunder Island,1978
50,Atlanta Rhythm Section,51,Imaginary Lover,1978
51,Bob Seger and The Silver Bullet Band,52,Still The Same,1978
52,Toby Beau,53,My Angel Baby,1978
53,Trammps,54,Disco Inferno,1978
54,George Benson,55,On Broadway,1978
55,Styx,56,Come Sail Away,1978
56,L.T.D.,57,Back In Love Again,1978
57,Player,58,This Time I’m In It For Love,1978
58,Carly Simon,59,You Belong To Me,1978
59,Dolly Parton,60,Here You Come Again,1978
60,Linda Ronstadt,61,Blue Bayou,1978
61,Steely Dan,62,Peg,1978
62,Anne Murray,63,You Needed Me,1978
63,Evelyn “Champagne” King,64,Shame,1978
64,Little River Band,65,Reminiscing,1978
65,Jefferson Starship,66,Count On Me,1978
66,Eddie Money,67,Baby Hold On,1978
67,Shaun Cassidy,68,Hey Deanie,1978
68,John Travolta and Olivia Newton-john,69,Summer Nights,1978
69,Lynyrd Skynyrd,70,What’s Your Name,1978
70,Crystal Gayle,71,Don’t It Make My Brown Eyes Blue,1978
71,Patti Smith,72,Because The Night,1978
72,Robert Palmer,73,Every Kinda People,1978
73,Barry Manilow,74,Copacabana,1978
74,Heatwave,75,Always And Forever,1978
75,Rick James,76,You And I,1978
76,"Earth, Wind and Fire",77,Serpentine Fire,1978
77,Bob Welch,78,Sentimental Lady,1978
78,LeBlanc and Carr,79,Falling,1978
79,Santa Esmeralda,80,Dont Let Me Be Misunderstood,1978
80,Michael Johnson,81,Bluer Than Blue,1978
81,Jackson Browne,82,Running On Empty,1978
82,Kenny Loggins,83,Whenever I Call You “Friend”,1978
83,Chris Rea,84,Fool (If You Think It’s Over),1978
84,Foxy,85,Get Off,1978
85,Electric Light Orchestra,86,Sweet Talking Woman,1978
86,Joe Walsh,87,Life’s Been Good,1978
87,Alicia Bridges,88,I Love The Night Life,1978
88,High Inergy,89,You Can’t Turn Me Off (In The Middle Of Turning Me On),1978
89,Linda Ronstadt,90,It’s So Easy,1978
90,Odyssey,91,Native New Yorker,1978
91,Parliament,92,Flashlight,1978
92,Boston,93,Don’t Look Back,1978
93,Electric Light Orchestra,94,Turn To Stone,1978
94,Eruption,95,I Can’t Stand The Rain,1978
95,Bob Welch,96,Ebony Eyes,1978
96,ABBA,97,The Name Of The Game,1978
97,Rita Coolidge,98,We’re All Alone,1978
98,Bob Seger and The Silver Bullet Band,99,Hollywood Nights,1978
99,Steely Dan,100,Deacon Blues,1978
0,Knack,1,My Sharona,1979
1,Donna Summer,2,Bad Girls,1979
2,Chic,3,Le Freak,1979
3,Rod Stewart,4,Da Ya Think I’m Sexy,1979
4,Peaches and Herb,5,Reunited,1979
5,Gloria Gaynor,6,I Will Survive,1979
6,Donna Summer,7,Hot Stuff,1979
7,Village People,8,Y.M.C.A.,1979
8,Anita Ward,9,Ring My Bell,1979
9,Robert John,10,Sad Eyes,1979
10,Bee Gees,11,Too Much Heaven,1979
11,Donna Summer,12,MacArthur Park,1979
12,Dr. Hook,13,When You’re In Love With A Beautiful Woman,1979
13,David Naughton,14,Makin’ It,1979
14,Pointer Sisters,15,Fire,1979
15,Bee Gees,16,Tragedy,1979
16,Olivia Newton-John,17,A Little More Love,1979
17,Blondie,18,Heart Of Glass,1979
18,Doobie Brothers,19,What A Fool Believes,1979
19,Chic,20,Good Times,1979
20,Barbra Streisand and Neil Diamond,21,You Don’t Bring Me Flowers,1979
21,Amii Stewart,22,Knock On Wood,1979
22,Suzi Quatro and Chris Norman,23,Stumblin’ In,1979
23,Maxine Nightingale,24,Lead Me On,1979
24,Jacksons,25,Shake Your Body,1979
25,Melissa Manchester,26,Don’t Cry Out Loud,1979
26,Supertramp,27,The Logical Song,1979
27,Billy Joel,28,My Life,1979
28,Randy Vanwarmer,29,Just When I Needed You Most,1979
29,Raydio,30,You Can’t Change That,1979
30,Peaches and Herb,31,Shake Your Groove Thing,1979
31,Dionne Warwick,32,I’ll Never Love This Way Again,1979
32,Bee Gees,33,Love You Inside Out,1979
33,Cheap Trick,34,I Want You To Want Me,1979
34,Barbra Streisand,35,The Main Event (Fight),1979
35,Elton John,36,Mama Can’t Buy You Love,1979
36,Leif Garrett,37,I Was Made For Dancin’,1979
37,"Earth, Wind and Fire",38,After The Love Has Gone,1979
38,Donna Summer and Brooklyn Dreams,39,Heaven Knows,1979
39,Kenny Rogers,40,The Gambler,1979
40,Nicolette Larson,41,Lotta Love,1979
41,Little River Band,42,Lady,1979
42,Bonnie Pointer,43,Heaven Must Have Sent You,1979
43,Toto,44,Hold The Line,1979
44,Sister Sledge,45,He’s The Greatest Dancer,1979
45,Dr. Hook,46,Sharing The Night Together,1979
46,Kenny Rogers,47,She Believes In Me,1979
47,Village People,48,In The Navy,1979
48,Frank Mills,49,Music Box Dancer,1979
49,Charlie Daniels Band,50,The Devil Went Down To Georgia,1979
50,John Stewart,51,Gold,1979
51,Wings,52,Goodnight Tonight,1979
52,Sister Sledge,53,We Are Family,1979
53,Bad Company,54,Rock ‘N’ Roll Fantasy,1979
54,Hot Chocolate,55,Every 1’s A Winner,1979
55,Cher,56,Take Me Home,1979
56,"Earth, Wind and Fire",57,Boogie Wonderland,1979
57,Andy Gibb,58,(Our Love) Don’t Throw It All Away,1979
58,Bobby Caldwell,59,What You Won’t Do For Love,1979
59,Ace Frehley,60,New York Groove,1979
60,Dire Straits,61,Sultans Of Swing,1979
61,Chic,62,I Want Your Love,1979
62,Rickie Lee Jones,63,Chuck E’s In Love,1979
63,Alicia Bridges,64,I Love The Night Life,1979
64,McFadden and Whitehead,65,Ain’t No Stoppin’ Us Now,1979
65,Little River Band,66,Lonesome Loser,1979
66,Styx,67,Renegade,1979
67,England Dan and John Ford Coley,68,Love Is The Answer,1979
68,Cheryl Lynn,69,Got To Be Real,1979
69,Patrick Hernandez,70,Born To Be Alive,1979
70,Electric Light Orchestra,71,Shine A Little Love,1979
71,Anne Murray,72,I Just Fall In Love Again,1979
72,Ian Matthews,73,Shake It,1979
73,Kiss,74,I Was Made For Lovin’ You,1979
74,Gino Vannelli,75,I Just Wanna Stop,1979
75,G.Q.,76,Disco Nights,1979
76,Linda Ronstadt,77,Ooh Baby Baby,1979
77,"Earth, Wind and Fire",78,September,1979
78,Al Stewart,79,Time Passages,1979
79,Herb Alpert,80,Rise,1979
80,Electric Light Orchestra,81,Don’t Bring Me Down,1979
81,Eric Clapton,82,Promises,1979
82,Roger Voudouris,83,Get Used To It,1979
83,Ambrosia,84,How Much I Feel,1979
84,Eddie Rabbitt,85,Suspicions,1979
85,Rex Smith,86,You Take My Breath Away,1979
86,Alice Cooper,87,How You Gonna See Me Now,1979
87,Foreigner,88,Double Vision,1979
88,Babys,89,Every Time I Think Of You,1979
89,Instant Funk,90,I Got My Mind Made Up,1979
90,Michael Jackson,91,Don’t Stop ‘Til You Get Enough,1979
91,Robert Palmer,92,Bad Case Of Lovin’ You,1979
92,Barry Manilow,93,Somewhere In The Night,1979
93,Bob Seger and The Silver Bullet Band,94,We’ve Got Tonight,1979
94,Van Halen,95,Dance The Night Away,1979
95,Nigel Olsson,96,Dancing Shoes,1979
96,Diana Ross,97,The Boss,1979
97,Commodores,98,Sail On,1979
98,G.Q.,99,I Do Love You,1979
99,Firefall,100,Strange Way,1979
0,Blondie,1,Call Me,1980
1,Pink Floyd,2,Another Brick In The Wall,1980
2,Olivia Newton-John,3,Magic,1980
3,Michael Jackson,4,Rock With You,1980
4,Captain and Tennille,5,Do That To Me One More Time,1980
5,Queen,6,Crazy Little Thing Called Love,1980
6,Paul McCartney,7,Coming Up,1980
7,"Lipps, Inc.",8,Funkytown,1980
8,Billy Joel,9,It’s Still Rock And Roll To Me,1980
9,Bette Midler,10,The Rose,1980
10,Rupert Holmes,11,Escape (The Pina Colada Song),1980
11,Gary Numan,12,Cars,1980
12,Smokey Robinson,13,Cruisin’,1980
13,Spinners,14,Working My Way Back To You-Forgive Me Girl,1980
14,Air Supply,15,Lost In Love,1980
15,Elton John,16,Little Jeannie,1980
16,Cristopher Cross,17,Ride Like The Wind,1980
17,Diana Ross,18,Upside Down,1980
18,K.C. and The Sunshine Band,19,Please Don’t Go,1980
19,Styx,20,Babe,1980
20,Billy Preston and Syreeta,21,With You I’m Born Again,1980
21,Manhattans,22,Shining Star,1980
22,Commodores,23,Still,1980
23,Teri De Sario With K.C.,24,"Yes, I’m Ready",1980
24,Dr. Hook,25,Sexy Eyes,1980
25,Robbie Dupree,26,Steal Away,1980
26,Ambrosia,27,Biggest Part Of Me,1980
27,Kenny Loggins,28,This Is It,1980
28,Spinners,29,Cupid/I’ve Loved You For A Long Time,1980
29,Jermaine Jackson,30,Let’s Get Serious,1980
30,Kenny Rogers and Kim Carnes,31,Don’t Fall In Love With A Dreamer,1980
31,Christopher Cross,32,Sailing,1980
32,Dan Fogelberg,33,Longer,1980
33,Kenny Rogers,34,Coward Of The County,1980
34,Kool and The Gang,35,Ladies Night,1980
35,Kool and The Gang,36,Too Hot,1980
36,S.O.S. Band,37,Take Your Time,1980
37,Barbra Streisand and Donna Summer,38,No More Tears (Enough Is Enough),1980
38,Kim Carnes,39,More Love,1980
39,M,40,Pop Muzik,1980
40,Pretenders,41,Brass In Pocket,1980
41,"Ray, Goodman and Brown",42,Special Lady,1980
42,Stevie Wonder,43,Send One Your Love,1980
43,Shalamar,44,The Second Time Around,1980
44,Cliff Richard,45,We Don’t Talk Anymore,1980
45,Brothers Johnson,46,Stomp,1980
46,Eagles,47,Heartache Tonight,1980
47,Rocky Burnette,48,Tired Of Toein’ The Line,1980
48,Dr. Hook,49,Better Love Next Time,1980
49,Rupert Holmes,50,Him,1980
50,Bob Seger and The Silver Bullet Band,51,Against The Wind,1980
51,Donna Summer,52,On The Radio,1980
52,Rolling Stones,53,Emotional Rescue,1980
53,Herb Alpert,54,Rise,1980
54,Air Supply,55,All Out Of Love,1980
55,Little River Band,56,Cool Change,1980
56,J.D. Souther,57,You’re Only Lonely,1980
57,Andy Gibb,58,Desire,1980
58,Pete Townshend,59,Let My Love Open The Door,1980
59,Steve Forbert,60,Romeo’s Tune,1980
60,Anne Murray,61,Daydream Believer,1980
61,Eagles,62,I Can’t Tell You Why,1980
62,Isaac Hayes,63,Don’t Let Go,1980
63,Tom Petty and The Heartbreakers,64,Don’t Do Me Like That,1980
64,Michael Jackson,65,She’s Out Of My Life,1980
65,Irene Cara,66,Fame,1980
66,Bob Seger and The Silver Bullet Band,67,Fire Lake,1980
67,Linda Ronstadt,68,How Do I Make You,1980
68,Benny Mardones,69,Into The Night,1980
69,Pure Prairie League,70,Let Me Love You Tonight,1980
70,Genesis,71,Misunderstanding,1980
71,Dirt Band,72,An American Dream,1980
72,Carole King,73,One Fine Day,1980
73,Donna Summer,74,Dim All The Lights,1980
74,Billy Joel,75,You May Be Right,1980
75,Neil Sedaka and Dara Sedaka,76,Should’ve Never Let You Go,1980
76,Charlie Dore,77,Pilot Of The Airwaves,1980
77,Linda Ronstadt,78,Hurt So Bad,1980
78,Michael Jackson,79,Off The Wall,1980
79,Peaches and Herb,80,I Pledge My Love,1980
80,Eagles,81,The Long Run,1980
81,Mickey Gilley,82,Stand By Me,1980
82,Pat Benatar,83,Heartbreaker,1980
83,Dionne Warwick,84,Deja Vu,1980
84,Eddie Rabbitt,85,Drivin’ My Life Away,1980
85,Supertramp,86,Take The Long Way Home,1980
86,Fleetwood Mac,87,Sara,1980
87,Daryl Hall and John Oates,88,Wait For Me,1980
88,Boz Scaggs,89,Jo Jo,1980
89,Neil Diamond,90,September Morn,1980
90,George Benson,91,Give Me The Night,1980
91,Anne Murray,92,Broken Hearted Me,1980
92,Kenny Rogers,93,You Decorated My Life,1980
93,Fleetwood Mac,94,Tusk,1980
94,Prince,95,I Wanna Be Your Lover,1980
95,Charlie Daniels Band,96,In America,1980
96,Boz Scaggs,97,Breakdown Dead Ahead,1980
97,Barry Manilow,98,Ships,1980
98,Joe Walsh,99,All Night Long,1980
99,Tom Petty and The Heartbreakers,100,Refugee,1980
0,Kim Carnes,1,Bette Davis Eyes,1981
1,Diana Ross and Lionel Richie,2,Endless Love,1981
2,Kenny Rogers,3,Lady,1981
3,John Lennon,4,(Just Like) Starting Over,1981
4,Rick Springfield,5,Jessie’s Girl,1981
5,Kool and The Gang,6,Celebration,1981
6,Daryl Hall and John Oates,7,Kiss On My List,1981
7,Eddie Rabbitt,8,I Love A Rainy Night,1981
8,Dolly Parton,9,9 To 5,1981
9,REO Speedwagon,10,Keep On Loving You,1981
10,Joey Scarbury,11,Theme From “Greatest American Hero”,1981
11,Sheena Easton,12,Morning Train (Nine To Five),1981
12,Smokey Robinson,13,Being With You,1981
13,Juice Newton,14,Queen Of Hearts,1981
14,Blondie,15,Rapture,1981
15,Ray Parker jr. and Raydio,16,A Woman Needs Love,1981
16,Blondie,17,The Tide Is High,1981
17,Grover Washington jr.,18,Just The Two Of Us,1981
18,Pointer Sisters,19,Slow Hand,1981
19,Climax Blues Band,20,I Love You,1981
20,John Lennon,21,Woman,1981
21,A Taste Of Honey,22,Sukiyaki,1981
22,ABBA,23,The Winner Takes It All,1981
23,Stars On 45,24,Medley,1981
24,Juice Newton,25,Angel Of The Morning,1981
25,Neil Diamond,26,Love On The Rocks,1981
26,Air Supply,27,Every Woman In The World,1981
27,Air Supply,28,The One That You Love,1981
28,Barbra Streisand and Barry Gibb,29,Guilty,1981
29,Styx,30,The Best Of Times,1981
30,Oak Ridge Boys,31,Elvira,1981
31,REO Speedwagon,32,Take It On The Run,1981
32,Ronnie Milsap,33,No Gettin’ Over Me,1981
33,Gino Vannelli,34,Living Outside Myself,1981
34,Barbra Streisand,35,Woman In Love,1981
35,Manhattan Transfer,36,Boy From New York City,1981
36,Foreigner,37,Urgent,1981
37,Rod Stewart,38,Passion,1981
38,Commodores,39,Lady (You Bring Me Up),1981
39,Don Mclean,40,Crying,1981
40,Marty Balin,41,Hearts,1981
41,Diana Ross,42,It’s My Turn,1981
42,Daryl Hall and John Oates,43,You Make My Dreams,1981
43,Kenny Rogers,44,I Don’t Need You,1981
44,Champaign,45,How ‘Bout Us,1981
45,Pat Benatar,46,Hit Me With Your Best Shot,1981
46,Greg Kihn Band,47,The Breakup Song,1981
47,Alan Parsons Project,48,Time,1981
48,Bruce Springsteen,49,Hungry Heart,1981
49,Franke and The Knockouts,50,Sweetheart,1981
50,Terri Gibbs,51,Someone’s Knockin’,1981
51,Leo Sayer,52,More Than I Can Say,1981
52,Tierra,53,Together,1981
53,Styx,54,Too Much Time On My Hands,1981
54,Dottie West,55,What Are We Doin’ In Love,1981
55,Journey,56,Who’s Crying Now,1981
56,Police,57,"De Do Do Do, De Da Da",1981
57,Gary U.S. Bonds,58,This Little Girl,1981
58,Stevie Nicks With Tom Petty and The Heartbreakers,59,Stop Draggin’ My Heart Around,1981
59,Delbert McClinton,60,Giving It Up For Your Love,1981
60,Cliff Richard,61,A Little In Love,1981
61,Neil Diamond,62,America,1981
62,John Cougar,63,Ain’t Even Done With The Night,1981
63,Christopher Cross,64,Arthur’s Theme,1981
64,Queen,65,Another One Bites The Dust,1981
65,Alan Parsons Project,66,Games People Play,1981
66,Eric Clapton,67,I Can’t Stand It,1981
67,Steve Winwood,68,While You See A Chance,1981
68,Stevie Wonder,69,Master Blaster,1981
69,Neil Diamond,70,Hello Again,1981
70,Police,71,Don’t Stand So Close To Me,1981
71,Steely Dan,72,Hey Nineteen,1981
72,Stevie Wonder,73,I Ain’t Gonna Stand For It,1981
73,George Harrison,74,All Those Years Ago,1981
74,Eddie Rabbitt,75,Step By Step,1981
